AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Label
4240.513,4247.308,4241.538,4278.59,4392.949,4350.513,4355.128,3985.769,3987.564,4226.154,4317.692,4237.051,4403.462,4385.256,7.56
4233.846,4244.231,4241.41,4278.333,4397.179,4350.128,4352.051,4178.205,4179.615,4193.974,4306.154,4212.821,4399.103,4368.846,7.56
4232.308,4248.333,4245.256,4272.436,4397.179,4349.872,4353.974,4262.308,4263.974,4196.538,4301.282,4204.744,4384.487,4357.564,7.56
4229.103,4222.949,4236.923,4266.41,4397.308,4351.154,4357.179,4201.026,4202.821,4197.692,4311.41,4225.256,4369.231,4344.615,7.56
4234.359,4226.41,4234.487,4273.59,4396.282,4345.513,4350.0,4205.641,4205.256,4206.282,4320.897,4238.718,4365.256,4343.846,7.56
4233.974,4242.308,4232.308,4276.41,4396.667,4347.051,4351.795,4230.256,4228.462,4256.154,4317.051,4239.872,4340.128,4330.385,7.56
4230.128,4231.026,4229.744,4271.41,4395.641,4346.41,4352.564,4195.128,4192.564,4301.026,4329.744,4253.333,4344.359,4316.795,7.56
4234.872,4207.692,4237.179,4268.846,4394.615,4344.744,4347.179,4252.692,4250.513,4314.487,4336.538,4265.128,4334.487,4317.692,7.56
4229.103,4209.231,4233.333,4266.795,4392.692,4340.128,4342.051,4134.615,4134.744,4333.974,4333.718,4268.205,4324.744,4328.205,7.56
4233.846,4233.846,4233.333,4279.359,4393.974,4338.846,4343.462,3963.462,3964.359,4344.103,4344.615,4293.077,4316.923,4341.538,7.56
4220.769,4220.128,4233.077,4270.128,4398.846,4342.949,4342.308,3972.692,3973.462,4339.231,4349.231,4286.41,4330.385,4350.0,7.56
4235.385,4225.256,4249.359,4272.821,4398.974,4347.821,4340.128,4021.41,4022.051,4348.462,4338.846,4274.103,4344.487,4371.667,7.56
4229.744,4229.872,4239.615,4268.462,4393.59,4348.846,4342.692,3981.41,3980.513,4321.923,4332.308,4270.256,4362.308,4383.974,7.56
4238.846,4248.333,4238.974,4281.41,4392.692,4347.949,4342.692,4009.487,4006.795,4271.923,4333.205,4265.128,4371.923,4391.538,7.56
4228.205,4218.59,4242.821,4272.179,4395.513,4352.308,4344.231,3983.333,3982.051,4248.077,4325.897,4249.487,4388.077,4389.615,7.56
4241.41,4231.41,4248.974,4275.385,4395.128,4353.333,4347.692,3995.769,3995.385,4229.744,4318.462,4246.538,4397.179,4388.974,7.56
4228.077,4225.513,4238.077,4274.359,4393.718,4358.205,4351.282,4190.641,4191.026,4200.769,4302.051,4219.487,4395.128,4373.974,7.56
4230.256,4227.564,4237.308,4273.846,4394.872,4359.359,4347.821,4260.385,4262.949,4196.923,4297.949,4205.256,4391.795,4361.795,7.56
4233.974,4208.333,4235.128,4273.462,4398.205,4356.026,4348.077,4198.462,4199.359,4183.846,4308.462,4220.0,4378.846,4346.667,7.56
4237.179,4220.641,4236.026,4278.333,4395.897,4349.103,4350.385,4210.128,4207.564,4194.231,4314.359,4228.974,4367.821,4345.769,7.56
4230.0,4222.436,4230.513,4273.205,4394.744,4354.103,4355.256,4226.41,4224.872,4245.641,4313.59,4231.026,4353.205,4335.0,7.56
4233.462,4233.333,4232.821,4276.026,4394.744,4351.282,4347.564,4196.667,4195.769,4287.179,4328.974,4251.154,4361.923,4327.051,7.56
4237.308,4243.462,4238.077,4272.308,4395.897,4343.974,4342.949,4253.59,4251.795,4309.744,4337.308,4264.872,4340.513,4321.667,7.56
4227.436,4229.615,4228.718,4257.564,4395.513,4340.769,4342.821,4120.769,4120.256,4337.436,4341.026,4271.795,4328.718,4324.872,7.56
4225.385,4222.179,4230.256,4270.641,4397.308,4341.667,4338.462,3958.59,3957.692,4343.205,4349.487,4297.821,4322.179,4339.359,7.56
4214.487,4215.897,4235.769,4273.846,4395.641,4339.487,4331.538,3978.462,3976.667,4340.641,4347.692,4288.077,4336.154,4350.256,7.56
4233.077,4223.205,4247.308,4274.615,4390.385,4344.487,4338.205,4025.256,4023.846,4351.026,4338.846,4272.436,4346.154,4365.385,7.56
4230.769,4212.564,4237.692,4267.308,4391.795,4350.256,4343.846,3981.923,3980.769,4325.769,4334.231,4270.513,4358.333,4373.333,7.56
4243.205,4233.205,4246.154,4284.487,4396.282,4346.923,4342.308,4000.513,4003.846,4286.923,4335.0,4270.769,4365.128,4383.974,7.56
4229.359,4236.41,4245.256,4276.154,4394.872,4349.872,4349.231,3986.026,3981.41,4264.231,4332.179,4251.41,4384.615,4389.487,7.56
4236.026,4262.308,4245.769,4276.41,4393.333,4352.692,4352.179,4010.897,4009.487,4237.692,4324.103,4242.564,4390.897,4392.692,7.56
4228.205,4236.026,4238.462,4274.103,4395.513,4351.282,4349.103,4130.385,4171.538,4209.744,4304.231,4220.128,4395.0,4374.615,7.56
4240.769,4235.0,4240.128,4277.692,4396.538,4349.487,4352.051,4171.282,4223.718,4201.667,4298.974,4212.179,4405.769,4362.564,7.56
4237.436,4225.0,4237.564,4275.769,4395.897,4353.718,4358.974,4188.462,4194.103,4181.667,4306.026,4220.0,4393.718,4351.026,7.56
4235.256,4218.462,4242.821,4278.077,4393.59,4347.051,4356.026,4233.718,4219.744,4193.718,4309.231,4223.718,4372.051,4346.026,7.56
4228.205,4191.795,4235.0,4272.949,4393.077,4345.385,4360.513,4214.744,4219.103,4235.769,4309.872,4226.795,4361.282,4332.436,7.56
4231.538,4215.0,4230.641,4276.795,4391.795,4344.744,4358.846,4196.795,4199.744,4266.667,4325.385,4246.282,4374.744,4332.051,7.56
4233.077,4240.641,4237.308,4274.103,4393.718,4340.897,4352.179,4257.308,4251.41,4292.692,4330.128,4255.385,4350.769,4323.59,7.56
4232.821,4236.538,4238.077,4268.846,4395.513,4333.077,4348.205,4116.795,4113.59,4329.615,4337.308,4268.205,4333.974,4318.462,7.56
4232.308,4227.051,4237.692,4276.795,4396.923,4334.744,4349.615,3982.949,3980.897,4342.821,4349.359,4298.205,4320.0,4333.077,7.56
4218.846,4228.205,4233.718,4271.795,4395.769,4334.744,4346.154,3994.615,3997.436,4344.872,4346.923,4287.564,4325.128,4350.0,7.56
4230.385,4242.051,4244.231,4273.718,4393.846,4332.436,4347.821,4021.154,4022.692,4351.026,4341.282,4273.077,4334.487,4366.282,7.56
4227.564,4221.154,4240.513,4268.974,4394.231,4333.59,4350.513,3983.333,3981.667,4330.769,4340.641,4272.179,4352.949,4376.154,7.56
4240.769,4213.462,4243.846,4280.385,4395.513,4335.641,4349.615,3996.538,3996.667,4300.641,4335.641,4269.744,4363.077,4387.564,7.56
4231.923,4202.051,4239.744,4270.256,4393.718,4338.333,4353.59,3990.0,3990.513,4273.333,4330.128,4254.359,4386.923,4392.051,7.56
4247.051,4231.41,4247.051,4281.154,4393.462,4339.231,4359.872,4017.179,4016.795,4238.077,4325.0,4251.41,4392.179,4397.179,7.56
4228.974,4220.769,4243.462,4281.41,4396.538,4340.513,4363.718,4063.718,4061.026,4209.872,4305.128,4223.333,4393.846,4381.795,7.56
4230.385,4234.359,4244.103,4279.103,4396.795,4340.641,4365.513,4095.641,4091.282,4199.359,4299.231,4208.333,4402.949,4363.974,7.56
4229.744,4224.487,4233.974,4270.769,4394.615,4346.282,4369.231,4192.308,4189.744,4177.821,4307.692,4216.667,4393.59,4348.846,7.56
4235.256,4228.333,4234.744,4271.923,4394.615,4341.41,4365.385,4248.59,4246.154,4193.974,4311.923,4226.538,4372.821,4349.872,7.56
4226.154,4211.923,4231.41,4268.333,4396.282,4339.872,4366.923,4202.692,4206.154,4235.641,4314.231,4226.795,4362.436,4341.667,7.56
4235.641,4218.333,4234.359,4274.103,4393.974,4341.026,4365.128,4203.462,4206.154,4266.538,4328.974,4241.667,4371.538,4340.641,7.56
4239.615,4215.256,4233.205,4268.718,4395.256,4340.769,4363.59,4244.487,4236.41,4294.359,4331.41,4256.667,4347.308,4324.615,7.56
4235.0,4213.59,4234.103,4266.538,4395.769,4329.744,4359.744,4136.538,4164.744,4327.179,4341.667,4272.692,4336.538,4317.308,7.56
4228.205,4211.538,4237.179,4272.821,4394.487,4328.974,4354.487,4082.051,4151.667,4338.462,4353.718,4291.538,4319.744,4328.462,7.56
4220.256,4207.436,4229.744,4269.744,4394.744,4330.641,4345.385,4042.692,4076.538,4345.385,4348.974,4286.795,4322.051,4341.282,7.56
4226.667,4224.103,4238.59,4274.744,4396.795,4330.641,4350.513,3996.026,3985.897,4347.051,4343.333,4284.103,4336.41,4358.333,7.56
4218.205,4246.026,4244.872,4269.744,4394.103,4334.103,4357.179,3981.41,3980.128,4325.769,4345.0,4278.718,4352.692,4373.718,7.56
4235.385,4260.641,4250.385,4278.846,4393.462,4339.359,4354.103,4005.769,4007.179,4308.333,4338.077,4274.231,4355.128,4383.205,7.56
4236.538,4234.103,4237.179,4270.385,4394.359,4340.897,4356.538,3987.949,3986.795,4280.769,4328.974,4257.051,4380.256,4385.0,7.56
4246.154,4238.718,4243.077,4276.795,4393.077,4340.0,4359.231,4017.179,4014.231,4236.667,4324.615,4246.154,4386.41,4392.564,7.56
4224.872,4208.59,4242.051,4269.872,4390.385,4344.103,4356.026,4012.821,3976.795,4211.667,4308.59,4228.205,4388.077,4381.667,7.56
4237.564,4210.128,4238.077,4274.872,4392.821,4344.872,4357.179,4045.0,4007.179,4203.846,4302.179,4222.436,4392.436,4366.667,7.56
4235.513,4200.769,4230.256,4272.949,4394.615,4343.077,4364.615,4198.718,4201.282,4178.718,4306.667,4213.077,4383.974,4351.538,7.56
4240.897,4218.718,4239.359,4274.872,4391.923,4340.513,4361.41,4250.897,4260.256,4189.359,4310.0,4217.436,4365.0,4346.538,7.56
4232.308,4207.308,4232.692,4271.154,4393.205,4344.487,4358.462,4200.513,4195.128,4224.615,4315.0,4230.897,4359.744,4333.462,7.56
4233.846,4229.103,4233.846,4274.231,4393.846,4339.103,4357.051,4214.231,4211.923,4256.154,4326.282,4244.103,4367.051,4332.821,7.56
4227.436,4243.077,4232.821,4265.769,4395.641,4336.923,4358.59,4220.385,4223.205,4288.59,4322.949,4249.615,4343.333,4321.795,7.56
4227.692,4243.974,4227.564,4266.923,4393.846,4333.205,4352.179,4198.333,4198.462,4322.179,4333.462,4267.564,4335.256,4317.564,7.56
4223.205,4223.718,4227.821,4272.564,4393.974,4330.385,4348.205,4250.385,4250.0,4331.41,4345.385,4282.949,4320.128,4323.59,7.56
4217.821,4213.718,4233.718,4271.538,4393.462,4332.949,4346.41,4107.179,4106.538,4337.692,4344.359,4283.077,4321.795,4337.051,7.56
4225.0,4214.872,4242.692,4273.974,4389.103,4342.821,4347.051,3955.128,3956.667,4339.103,4346.667,4289.359,4325.897,4354.359,7.56
4219.487,4200.897,4240.769,4267.308,4388.718,4337.692,4345.513,3981.538,3982.436,4321.795,4347.564,4277.564,4341.41,4367.051,7.56
4236.538,4209.744,4250.128,4275.769,4392.949,4332.692,4348.974,4018.974,4018.462,4310.385,4336.41,4268.974,4354.103,4378.846,7.56
4237.436,4230.513,4241.538,4274.615,4392.949,4342.949,4353.846,3978.59,3978.718,4291.026,4328.974,4260.769,4373.974,4384.615,7.56
4244.872,4262.436,4241.923,4286.154,4390.897,4348.205,4353.59,4015.0,4014.487,4252.051,4327.692,4250.256,4378.205,4393.974,7.56
4225.769,4236.667,4241.41,4273.974,4394.231,4345.128,4351.538,3974.103,3973.462,4231.667,4319.615,4236.538,4400.769,4388.846,7.56
4235.897,4239.744,4246.667,4276.667,4394.103,4346.282,4352.179,4012.821,4013.59,4219.231,4313.077,4234.487,4410.385,4375.0,7.56
4230.128,4227.436,4238.59,4272.821,4391.41,4352.436,4355.769,4212.436,4212.308,4190.769,4302.692,4206.923,4396.795,4359.103,7.56
4239.615,4223.846,4240.769,4271.795,4393.718,4351.154,4355.385,4261.795,4257.692,4196.41,4300.256,4204.103,4381.41,4357.821,7.56
4231.026,4189.744,4233.462,4267.692,4393.59,4349.615,4353.718,4187.949,4191.026,4213.333,4312.949,4227.564,4374.103,4342.051,7.56
